iteration,partner_id,euclidean_c1,euclidean_c2,euclidean_c3,assigned_cluster
1,1,1.077033,0.6,0.2,3
1,2,1.16619,0.4,0.0,3
1,3,1.414214,0.0,0.4,2
1,4,1.414214,0.0,0.4,2
1,5,0.6,1.077033,1.0,1
1,6,1.414214,0.0,0.4,2
1,7,0.0,1.414214,1.16619,1
1,8,0.0,1.414214,1.16619,1
1,9,0.0,1.414214,1.16619,1
1,10,0.0,1.414214,1.16619,1
1,11,1.0,1.0,1.077033,1
1,12,0.0,1.414214,1.16619,1
1,13,0.0,1.414214,1.16619,1
1,14,0.0,1.414214,1.16619,1
1,15,0.2,1.280625,1.077033,1
1,16,0.0,1.414214,1.16619,1
1,17,0.0,1.414214,1.16619,1
1,18,0.0,1.414214,1.16619,1
1,19,0.6,1.077033,1.0,1
1,20,0.0,1.414214,1.16619,1
1,21,0.0,1.414214,1.16619,1
1,22,0.2,1.280625,1.077033,1
1,23,0.0,1.414214,1.16619,1
1,24,0.2,1.280625,1.077033,1
1,25,0.2,1.280625,1.077033,1
1,26,0.0,1.414214,1.16619,1
2,1,1.032532,0.6,0.1,3
2,2,1.099536,0.4,0.1,3
2,3,1.317078,0.0,0.5,2
2,4,1.317078,0.0,0.5,2
2,5,0.457143,1.077033,1.004988,1
2,6,1.317078,0.0,0.5,2
2,7,0.142857,1.414214,1.118034,1
2,8,0.142857,1.414214,1.118034,1
2,9,0.142857,1.414214,1.118034,1
2,10,0.142857,1.414214,1.118034,1
2,11,0.857143,1.0,1.118034,1
2,12,0.142857,1.414214,1.118034,1
2,13,0.142857,1.414214,1.118034,1
2,14,0.142857,1.414214,1.118034,1
2,15,0.057143,1.280625,1.044031,1
2,16,0.142857,1.414214,1.118034,1
2,17,0.142857,1.414214,1.118034,1
2,18,0.142857,1.414214,1.118034,1
2,19,0.457143,1.077033,1.004988,1
2,20,0.142857,1.414214,1.118034,1
2,21,0.142857,1.414214,1.118034,1
2,22,0.057143,1.280625,1.044031,1
2,23,0.142857,1.414214,1.118034,1
2,24,0.057143,1.280625,1.044031,1
2,25,0.057143,1.280625,1.044031,1
2,26,0.142857,1.414214,1.118034,1
